scenario_id,success,position_error,yaw_error,stop_distance,failure_reason
s0000,1,0.069,0.03,0.437,
s0001,1,0.045,0.03,0.448,
s0002,0,0.171,0.12,0.475,overshoot: low friction + latency
s0003,1,0.062,0.03,0.417,
s0004,0,0.139,0.12,0.463,overshoot: low friction + latency
s0005,1,0.068,0.03,0.308,
s0006,1,0.042,0.03,0.379,
s0007,1,0.05,0.03,0.336,
s0008,1,0.063,0.03,0.367,
s0009,1,0.048,0.03,0.302,
s0010,1,0.055,0.03,0.398,
s0011,1,0.065,0.03,0.425,
s0012,1,0.067,0.03,0.404,
s0013,1,0.071,0.03,0.408,
s0014,1,0.053,0.03,0.314,
s0015,1,0.044,0.03,0.333,
s0016,1,0.052,0.03,0.391,
s0017,1,0.047,0.03,0.456,
s0018,1,0.057,0.03,0.369,
s0019,1,0.059,0.03,0.346,
s0020,1,0.077,0.03,0.43,
s0021,0,0.158,0.12,0.465,overshoot: low friction + latency
s0022,0,0.122,0.12,0.442,overshoot: low friction + latency
s0023,1,0.043,0.03,0.359,
s0024,1,0.059,0.03,0.323,
s0025,1,0.041,0.03,0.473,
s0026,1,0.079,0.03,0.341,
s0027,1,0.076,0.03,0.373,
s0028,1,0.051,0.03,0.317,
s0029,1,0.056,0.03,0.353,
s0030,1,0.078,0.03,0.384,
s0031,1,0.06,0.03,0.423,
